ID,NAME,IMAGE,LINK,EMAIL,PHONE,CELL_PHONE,ADDRESS,ADDRESS2,POSTAL_CODE,TOWN,WEBSITE
a6a57440-05d7-45ab-af48-83d4487c623d,PLONGE ET T'ES TOI,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-06540137-3aff240b-75d8-4bca-9b71-e4a169013c61.png,https://www.facebook.com/Plonge-Et-Tes-Toi-161127867876035/?ref=page_internal&path=%2FPlonge-Et-Tes-Toi-161127867876035%2F ,,,,PISCINE DE NANCY - GENTILLY,AVE PINCHARD,54000,Nancy,https://www.facebook.com/Plonge-Et-Tes-Toi-161127867876035/?ref=page_internal&path=%2FPlonge-Et-Tes-Toi-161127867876035%2F 
ed1d8103-ac96-4e8e-95db-e6a42200dff4,OFP AVENTURE PLONGEE,,,,,,,,54390,FROUARD,
78a72020-3e57-4c8e-ba89-1439f5a6ead3,ACTIONS DEVELOPPEMENT PLONGEE ,,https://adptoul.vpdive.com/,,,,OVIVE - CENTRE AQUATIQUE DES TERRES ,TOULOISES,54200,Toul,https://adptoul.vpdive.com/
e3d06103-855d-433f-9ba2-940246f3a2da,CLUB LES HYDRONAUTES,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-06540162-bd726284-ace8-4597-9bb1-076386189135.png,http://hydronautes.free.fr,,,,PISCINE DE GENTILLY,1610 AVE PINCHARD,54000,Nancy,http://hydronautes.free.fr
2233f7fb-2759-4dd2-8b7e-76442b200808,LE CINCLE PLONGEUR,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-06540160-7b3bca64-a5d0-4a2d-acdf-5a6b29094355.png,,,,,,,54460,Liverdun,
a086111c-304e-4602-b829-455447f1ef7d,LES PATAPLOUFS,,http://pataploufs.free.fr,,,,,,54230,Neuves-Maisons,http://pataploufs.free.fr
3b7fbcc5-242a-4bca-8b24-080de17f1144,MARINE CLUB,,,,,,1 RUE DE BEAUREGARD,,54000,NANCY,
5254f548-5e56-48c9-bf4c-3d259b286519,ACCRO PLONGEE NANCY,,http://www.accro-plongee.fr,,,0618555029,Piscine Laneuveville devant Nancy,1 rue Lucien Galtier,54410,Laneuveville-devant-Nancy,http://www.accro-plongee.fr
75845685-2add-46d2-8ca6-ff8a86843450,ASN-ASSOCIATION SUBAQUATIQUE NANCEIENNE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-06540171-7405c250-6bab-45ba-a6ca-a18d82bb9479.png,http://www.asn-plongee.com,,,,PISCINE OLYMPIQUE A NAKACHE,AVENUE R. PINCHARD,54000,NANCY,http://www.asn-plongee.com
3b1c940f-1e5b-47de-bfc6-19b8ad1af1cf,BACCARAT PLONGEE,,,,,,PISCINE DE BACCARAT,RUE EMILE GRIDEL,54120,Baccarat,
cfc25870-f407-4eb7-a7c5-a18b837e2442,BUBBLE AND TECH DIVE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-06540249-fe8af20e-2638-441b-95f4-4bfc66458da2.png,,,,,PISCINE MUNICIPALE DE  LONGUYON,AVE DU GENERAL DE GAULLE,54260,Longuyon,
